just_date,Count,TMAX
2018-01-14,28,27
2018-02-11,7,26
2018-03-04,-1,60
2018-03-10,15,53
2018-03-12,6,47
2018-03-14,1,57
2018-03-15,1,69
2018-03-16,-1,50
2018-03-17,2,48
2018-03-19,-1,48
2018-03-21,3,51
2018-03-23,3,52
2018-03-24,6,43
2018-03-25,4,50
2018-03-26,1,55
2018-03-28,0,50
2018-03-29,2,49
2018-03-30,1,57
2015-04-01,16,78
2017-04-01,18,60
2018-04-01,8,39
2018-04-02,4,42
2018-04-03,9,73
2018-04-04,10,42
2018-04-05,14,64
2018-04-06,17,52
2018-04-07,18,44
2018-04-08,10,43
2018-04-09,20,48
2018-04-10,11,52
2018-04-11,14,77
2018-04-12,18,85
2018-04-13,14,79
2018-04-14,15,64
2018-04-15,8,43
2018-04-16,15,48
2018-04-17,17,60
2018-04-18,23,69
2018-04-19,10,56
2018-04-20,4,62
2018-04-21,13,67
2018-04-22,11,61
2018-04-23,12,60
2018-04-24,20,72
2018-04-25,5,66
2018-04-26,27,72
2018-04-27,16,72
2018-04-28,19,63
2018-04-29,23,65
2018-04-30,12,80
2008-07-03,19,81
2014-07-12,12,97
2017-08-01,18,91
1991-09-01,1,
2016-09-01,24,82
2017-09-23,17,92
2017-10-01,24,79
2017-10-29,21,54
2017-12-22,23,52
2017-12-23,21,36
2018-01-01,25,9
2018-02-01,12,41
2018-03-01,3,57
2018-03-02,2,53
2018-03-03,1,57
2018-03-08,6,42
2018-03-11,8,45
2018-03-13,2,49
2018-03-20,3,45
2018-03-22,1,51
1991-01-01,2,
2012-01-01,45,56
2018-01-03,16,27
2018-01-05,21,20
2018-01-20,23,60
2018-01-21,18,69
2018-01-22,22,62
2018-01-23,10,37
2018-01-24,20,42
2017-01-29,5,38
2018-01-31,23,59
2018-02-02,10,31
2018-02-03,9,46
2018-02-04,10,38
2018-02-05,14,29
2018-02-06,8,26
2016-02-07,20,55
2018-02-07,8,34
2018-02-08,5,48
2018-02-09,9,57
2018-02-10,15,28
2018-02-12,14,38
2018-02-13,9,47
2018-02-14,11,66
2018-02-15,18,80
2018-02-16,18,48
2018-02-17,10,43
2018-02-18,20,53
2018-02-19,9,68
2018-02-20,5,69
2018-02-21,3,34
2017-02-22,9,74
2018-02-22,5,45
2018-02-23,18,50
2018-02-24,10,55
2018-02-25,10,53
2018-02-26,10,62
2018-02-27,15,69
2018-02-28,9,58
2017-06-21,21,97
1973-07-01,1,
2017-12-07,23,35
2017-12-21,11,57
2018-01-02,8,19
2018-01-04,9,18
2018-01-06,8,21
2018-01-07,10,39
2018-01-08,6,37
2018-01-09,13,38
2018-01-10,18,59
2018-01-11,12,65
2018-01-12,13,18
2018-01-13,12,23
2018-01-15,10,29
2018-01-16,5,11
2018-01-17,8,25
2018-01-18,22,46
2018-01-19,11,57
2018-01-25,16,66
2018-01-26,11,62
2018-01-27,20,56
2018-01-28,3,56
2018-01-29,9,34
2018-01-30,8,38
2017-02-15,9,49
2014-03-26,20,54
2001-05-01,1,
2017-06-16,14,92
2016-07-22,21,88
2016-09-10,14,79
2017-09-20,16,97
2017-10-31,22,44
1999-11-01,1,
2017-11-29,15,57
2017-12-02,24,63
2017-12-19,18,53
2017-12-28,13,21
2017-12-31,12,12
2014-01-01,31,48
2013-02-17,11,49
2016-05-22,24,84
2017-06-01,27,84
2017-06-26,13,81
2016-07-01,23,84
2017-07-20,17,102
2017-08-13,29,83
2017-09-01,20,77
2017-10-10,20,75
2012-10-22,11,75
2017-10-22,34,71
2017-10-24,24,55
2017-11-06,17,52
2017-11-08,19,52
2017-11-10,15,39
2017-11-14,19,53
2017-11-15,17,62
2017-11-17,13,60
2017-11-20,28,61
2017-11-23,23,59
2017-11-24,26,74
2017-11-25,37,61
2017-11-27,11,72
2017-11-28,36,74
2017-11-30,21,57
2017-12-01,17,56
2017-12-03,17,65
2017-12-04,19,70
2017-12-05,17,47
2017-12-06,16,48
2017-12-08,11,40
2017-12-09,12,36
2017-12-10,15,52
2017-12-11,15,58
2017-12-12,13,41
2017-12-13,9,58
2017-12-14,12,39
2017-12-15,12,45
2017-12-16,19,62
2017-12-17,16,55
2017-12-18,10,54
2017-12-20,19,51
2017-12-24,6,30
2017-12-25,10,29
2017-12-26,6,24
2017-12-27,8,12
2017-12-29,16,26
2012-12-30,20,43
2017-12-30,12,25
2015-03-01,13,32
2017-05-10,32,88
2017-05-26,23,87
2017-06-07,31,82
2017-07-18,16,98
2017-08-11,19,84
2017-08-26,14,84
2017-09-09,14,84
2017-09-15,45,90
2017-10-12,18,61
2017-10-25,34,67
2017-10-26,16,77
2017-10-27,25,54
2017-10-28,24,41
2017-10-30,23,54
2017-11-01,22,52
2017-11-02,20,79
